name,type,start_date,athlete_count,average_cadence,average_heartrate,average_speed,distance,elapsed_time,has_heartrate,max_heartrate,max_speed,moving_time,sport_type,total_elevation_gain,kudos_count,achievement_count,pr_count
Morning Run,Run,2023-08-03T14:06:44Z,1,81.4,149.4,3.234,12887.8,4206,True,177.0,4.357,3985,Run,11.0,0,2,0
Evening Run,Run,2023-08-02T00:27:40Z,1,81.7,148.4,3.15,9094.0,4655,True,194.0,6.387,2887,Run,2.0,0,2,0
Morning Run,Run,2023-07-31T13:52:09Z,1,81.9,156.9,3.376,12887.7,4546,True,180.0,4.195,3817,Run,4.7,0,1,0
Evening Run,Run,2023-07-28T00:54:04Z,1,78.2,135.2,2.408,821.1,341,True,142.0,3.047,341,Run,0.0,2,0,0
Evening Run,Run,2023-07-27T23:59:56Z,12,85.4,187.5,3.987,2997.9,752,True,197.0,6.007,752,Run,0.0,3,0,0
Evening Run,Run,2023-07-27T23:29:33Z,2,83.6,151.1,3.033,1634.9,539,True,164.0,3.677,539,Run,2.8,2,0,0
Evening Run,Run,2023-07-27T00:23:42Z,2,80.0,127.3,3.092,1623.1,542,True,145.0,3.727,525,Run,0.0,3,0,0
Evening Run,Run,2023-07-26T00:50:00Z,1,81.9,140.7,3.601,6939.7,3985,True,181.0,5.66,1927,Run,0.0,3,0,0
Evening Run,Run,2023-07-24T23:33:45Z,6,80.7,151.5,3.322,8051.5,2424,True,166.0,4.48,2424,Run,3.6,4,1,0
Morning Run,Run,2023-07-23T13:52:02Z,1,83.5,150.2,3.574,19323.3,5501,True,172.0,6.767,5407,Run,11.3,5,6,1
Morning Run,Run,2023-07-21T14:11:43Z,1,82.0,138.4,3.027,9664.8,3940,True,165.0,4.447,3193,Run,145.3,4,0,0
Morning Walk,Walk,2023-07-20T16:30:59Z,1,51.1,99.3,1.15,4493.4,4070,True,116.0,1.905,3907,Walk,167.7,4,0,0
Morning Run,Run,2023-07-20T13:39:52Z,1,84.1,147.6,3.414,11279.1,4118,True,181.0,4.276,3304,Run,99.1,5,0,0
Morning Run,Run,2023-07-18T13:47:22Z,1,81.9,141.3,3.046,12131.0,5608,True,161.0,4.231,3983,Run,196.1,5,0,0
Morning Run,Run,2023-07-17T12:20:43Z,2,82.6,144.0,3.176,12885.8,4313,True,168.0,4.557,4057,Run,4.8,2,1,0
Morning Run,Run,2023-07-16T13:01:27Z,10,80.1,138.0,2.55,4876.0,1926,True,168.0,3.873,1912,Run,7.0,3,0,0
Afternoon Run,Run,2023-07-15T21:54:20Z,1,,,3.353,1609.4,480,False,,0,480,Run,0,0,0,0
Morning Run,Run,2023-07-15T12:13:48Z,1,82.2,153.2,3.377,16109.8,5198,True,185.0,6.13,4770,Run,4.9,3,0,0
Evening Run,Run,2023-07-14T01:07:12Z,2,78.3,133.1,2.383,4811.1,2709,True,154.0,5.605,2019,Run,5.3,3,0,0
Evening Run,Run,2023-07-14T00:01:36Z,10,83.2,174.7,4.269,5758.9,1361,True,187.0,5.42,1349,Run,0.0,5,0,0
Evening Run,Run,2023-07-13T23:48:20Z,1,81.3,140.5,3.548,1575.5,613,True,158.0,4.213,444,Run,0.0,1,0,0
Evening Run,Run,2023-07-13T00:10:49Z,1,82.9,154.0,3.504,4842.3,1386,True,165.0,4.74,1382,Run,0.0,2,1,1
Evening Run,Run,2023-07-12T23:19:24Z,1,83.3,142.6,3.463,5822.0,1909,True,160.0,4.867,1681,Run,2.2,2,0,0
Afternoon Run,Run,2023-07-11T22:36:37Z,1,81.2,140.7,3.162,11275.4,4444,True,160.0,4.272,3566,Run,0.0,3,1,0
Morning Run,Run,2023-07-10T13:13:53Z,1,82.5,153.8,3.339,12885.5,4420,True,172.0,4.163,3859,Run,2.6,4,1,0
Morning Run,Run,2023-07-09T13:48:41Z,1,83.2,143.2,3.338,4870.0,1688,True,161.0,4.942,1459,Run,5.3,2,0,0
Morning Run,Run,2023-07-08T12:24:24Z,1,82.5,132.3,3.206,3565.0,1755,True,148.0,4.384,1112,Run,0.0,1,0,0
Evening Run,Run,2023-07-06T23:22:24Z,1,82.7,159.9,3.634,12880.6,4318,True,186.0,5.08,3544,Run,7.0,2,3,0
Evening Run,Run,2023-07-05T23:13:05Z,1,82.4,145.5,3.232,10026.3,3237,True,157.0,4.539,3102,Run,5.2,2,2,0
