name,type,start_date,athlete_count,average_cadence,average_heartrate,average_speed,distance,elapsed_time,has_heartrate,max_heartrate,max_speed,moving_time,sport_type,total_elevation_gain,kudos_count,achievement_count,pr_count
Lunch Run,Run,2023-12-24T18:55:23Z,1,82.6,146.3,8.049939975990396,6483.7,2005,True,164.0,4.133,1946,Run,5.1,9,0,0
Afternoon Run,Run,2023-12-23T23:05:07Z,1,82.4,148.4,7.978108268887566,4393.7,1473,True,164.0,4.642,1307,Run,4.6,5,0,0
Afternoon Run,Run,2023-12-22T22:43:35Z,1,83.6,159.4,7.840514469453377,3732.1,1130,True,172.0,4.996,1091,Run,4.0,5,0,0
Afternoon Run,Run,2023-12-22T22:36:57Z,1,83.9,149.1,7.67450643776824,1216.2,348,True,160.0,4.625,348,Run,0.0,3,1,1
Afternoon Run,Run,2023-12-21T21:47:05Z,2,81.3,144.8,8.389865498905223,3231.9,1011,True,160.0,3.801,1011,Run,0.0,2,0,0
Evening Run,Run,2023-12-20T00:08:19Z,1,80.4,144.3,9.277896921480458,4027.1,1616,True,161.0,3.897,1393,Run,0.0,0,0,0
Afternoon Run,Run,2023-12-17T22:47:57Z,1,78.9,141.4,8.782711198428292,4902.4,2790,True,157.0,4.213,1605,Run,5.2,4,0,0
Afternoon Stair-Stepper,StairStepper,2023-12-16T23:05:00Z,1,52.2,154.6,0.0,0.0,3114,True,179.0,0.0,3114,StairStepper,0,3,0,0
Afternoon Stair-Stepper,StairStepper,2023-12-15T21:40:35Z,1,74.8,129.3,0.0,0.0,2816,True,181.0,0.0,2816,StairStepper,0,3,0,0
Afternoon Run,Run,2023-12-14T01:23:53Z,1,81.2,145.0,7.9262411347517725,3231.3,1328,True,164.0,4.712,955,Run,3.2,5,0,0
Evening Stair-Stepper,StairStepper,2023-12-12T02:20:17Z,1,57.1,131.9,0.0,0.0,2859,True,169.0,0.0,2859,StairStepper,0,7,0,0
Evening Stair-Stepper,StairStepper,2023-12-11T02:43:55Z,1,47.6,146.3,0.0,0.0,2849,True,185.0,0.0,2849,StairStepper,0,6,0,0
Lunch Run,Run,2023-12-09T20:33:43Z,1,82.3,145.3,7.530151600224594,3287.4,1025,True,158.0,4.973,923,Run,5.9,5,0,0
Afternoon Run,Run,2023-12-06T00:09:46Z,1,80.2,146.1,8.296442932261057,3530.1,1689,True,159.0,3.816,1092,Run,0.0,4,0,0
Evening Run,Run,2023-12-05T02:48:48Z,1,,,7.4568807339449545,1661.9,475,False,,4.67,462,Run,0.0,5,0,0
Afternoon Run,Run,2023-11-22T22:39:44Z,3,,,8.970702341137125,4273.4,2489,False,,4.542,1429,Run,10.6,8,0,0
Afternoon Run,Run,2023-11-14T23:47:57Z,1,,,9.095422177009157,4971.8,2912,False,,5.312,1686,Run,8.3,8,0,0
Afternoon Elliptical,Elliptical,2023-11-14T14:20:00Z,1,,,8.858124174372524,11265.4,3720,False,,0,3720,Elliptical,0,7,0,0
Afternoon Run,Run,2023-11-14T00:13:36Z,1,,,8.890420947961552,4915.4,2287,False,,4.48,1629,Run,6.0,8,0,0
Afternoon Run,Run,2023-11-13T00:15:50Z,1,,,7.78589259796807,6593.4,2180,False,,7.884,1914,Run,9.1,10,2,0
Afternoon Run,Run,2023-11-10T00:16:50Z,1,,,8.066887218045112,8084.1,2703,False,,4.624,2431,Run,15.0,10,0,0
Afternoon Run,Run,2023-11-08T17:19:00Z,1,,,9.000805369127518,8046.7,2700,False,,0,2700,Run,0,7,0,0
Afternoon Run,Run,2023-11-07T01:43:56Z,1,81.2,142.5,8.94378126042014,3310.8,1104,True,154.0,3.924,1104,Run,5.9,7,0,0
Elliptical,Workout,2023-11-07T00:32:02Z,1,,154.3,0.0,0.0,3756,True,182.0,0.0,3756,Workout,0,5,0,0
Evening Ride,Workout,2023-11-06T02:40:07Z,1,,138.0,0.0,0.0,3162,True,152.0,0.0,3162,Workout,0,4,0,0
Evening Run,Run,2023-11-06T02:09:32Z,2,78.9,130.1,9.214153211954654,2235.9,817,True,150.0,3.761,768,Run,4.4,8,0,0
Afternoon Run,Run,2023-11-03T23:59:15Z,1,83.2,150.9,7.656979731658578,3236.5,924,True,159.0,4.41,924,Run,0.0,8,0,0
Evening Run,Run,2023-11-03T01:38:01Z,1,,,9.092338983050848,2058.9,911,False,,7.013,698,Run,0.0,8,0,0
Evening Run,Run,2023-11-02T01:49:01Z,2,81.9,150.1,8.052356649654758,1895.3,569,True,165.0,3.876,569,Run,0.0,8,0,0
Elliptical,Workout,2023-11-01T15:58:13Z,1,,147.9,0.0,0.0,2777,True,189.0,0.0,2777,Workout,0,6,0,0
Afternoon Ride,Workout,2023-10-31T00:06:23Z,1,,128.8,0.0,0.0,5495,True,165.0,0.0,5495,Workout,0,3,0,0
Afternoon Run,Run,2023-10-30T00:40:27Z,1,83.4,124.4,7.421804095185391,1326.4,565,True,150.0,4.311,367,Run,0.0,5,0,0
Afternoon Ride,Workout,2023-10-29T23:36:41Z,1,,123.2,0.0,0.0,2896,True,139.0,0.0,2896,Workout,0,3,0,0
Afternoon Run,Run,2023-10-29T00:52:03Z,1,80.7,142.6,8.137864077669905,4999.7,2095,True,161.0,4.574,1517,Run,0.0,6,0,0
Afternoon Run,Run,2023-10-27T00:24:30Z,1,,,8.596923076923076,1625.7,536,False,,4.464,521,Run,0.0,5,0,0
Evening Run,Run,2023-10-26T01:19:52Z,1,80.2,135.4,8.49616724738676,4100.8,1715,True,152.0,4.137,1299,Run,0.0,3,0,0
Evening Run,Run,2023-10-26T01:03:57Z,3,,,9.201509433962265,6462.9,3650,False,,4.563,2217,Run,6.3,7,0,0
Evening Run,Run,2023-10-25T01:24:12Z,4,80.9,139.1,8.16760048721072,2433.2,1031,True,152.0,4.007,741,Run,0.0,3,0,0
Evening Run,Run,2023-10-25T01:04:50Z,3,80.5,140.0,8.283631871525634,1651.6,510,True,151.0,4.032,510,Run,0.0,5,0,0
Evening Ride,Ride,2023-10-18T18:12:41Z,1,,,0.0,0.0,3720,False,,0,3720,Ride,0,6,0,0
Evening Workout,Workout,2023-10-18T01:12:10Z,1,,140.2,0.0,0.0,3761,True,169.0,0.0,3761,Workout,0,6,0,0
Afternoon Run,Run,2023-10-16T23:13:13Z,1,82.3,141.0,7.727571305099396,3741.7,1758,True,159.0,4.844,1078,Run,8.6,9,0,0
Afternoon Workout,Workout,2023-10-15T21:44:07Z,1,,131.7,0.0,0.0,5759,True,160.0,0.0,5759,Workout,0,4,0,0
Evening Run,Run,2023-10-14T01:37:47Z,1,80.9,129.1,9.012903225806452,2146.1,1170,True,145.0,4.183,721,Run,3.1,8,0,0
Afternoon Workout,Workout,2023-10-14T00:43:44Z,1,,136.9,0.0,0.0,2926,True,162.0,0.0,2926,Workout,0,5,0,0
Evening Run,Run,2023-10-13T01:25:57Z,2,74.9,118.6,10.506227967097534,2604.4,1065,True,135.0,4.872,1020,Run,3.7,8,0,0
Evening Run,Run,2023-10-09T01:00:51Z,4,80.4,126.2,9.230006882312455,24514.6,11251,True,155.0,9.15,8437,Run,192.4,20,4,0
Afternoon Workout,Workout,2023-10-07T21:25:43Z,1,,137.7,0.0,0.0,3118,True,165.0,0.0,3118,Workout,0,3,0,0
